left_row_id,right_row_id,left_id,left_title,right_id,right_title,jaccard_est,decision
32,302,r00032,Tech Media & Telecom Roundup: Market Talk,r00302,Tech Media & Telecom Roundup: Market Talk,0.5312,NEAR_DUP_REJECT
32,1423,r00032,Tech Media & Telecom Roundup: Market Talk,r01423,Tech Media & Telecom Roundup: Market Talk,0.6562,NEAR_DUP_REJECT
32,1804,r00032,Tech Media & Telecom Roundup: Market Talk,r01804,Tech Media & Telecom Roundup: Market Talk,0.7969,NEAR_DUP_REJECT
32,1852,r00032,Tech Media & Telecom Roundup: Market Talk,r01852,Tech Media & Telecom Roundup: Market Talk,0.6094,NEAR_DUP_REJECT
32,1865,r00032,Tech Media & Telecom Roundup: Market Talk,r01865,Tech Media & Telecom Roundup: Market Talk,0.625,NEAR_DUP_REJECT
32,1894,r00032,Tech Media & Telecom Roundup: Market Talk,r01894,Tech Media & Telecom Roundup: Market Talk,0.6719,NEAR_DUP_REJECT
32,1895,r00032,Tech Media & Telecom Roundup: Market Talk,r01895,Tech Media & Telecom Roundup: Market Talk,0.4688,NEAR_DUP_REJECT
32,2071,r00032,Tech Media & Telecom Roundup: Market Talk,r02071,Tech Media & Telecom Roundup: Market Talk,0.8125,NEAR_DUP_REJECT
32,2208,r00032,Tech Media & Telecom Roundup: Market Talk,r02208,Tech Media & Telecom Roundup: Market Talk,0.7031,NEAR_DUP_REJECT
32,2224,r00032,Tech Media & Telecom Roundup: Market Talk,r02224,Tech Media & Telecom Roundup: Market Talk,0.7656,NEAR_DUP_REJECT
32,2363,r00032,Tech Media & Telecom Roundup: Market Talk,r02363,Tech Media & Telecom Roundup: Market Talk,0.6406,NEAR_DUP_REJECT
32,2494,r00032,Tech Media & Telecom Roundup: Market Talk,r02494,Tech Media & Telecom Roundup: Market Talk,0.7188,NEAR_DUP_REJECT
32,2496,r00032,Tech Media & Telecom Roundup: Market Talk,r02496,Tech Media & Telecom Roundup: Market Talk,0.4375,NEAR_DUP_REJECT
32,2501,r00032,Tech Media & Telecom Roundup: Market Talk,r02501,Tech Media & Telecom Roundup: Market Talk,0.6875,NEAR_DUP_REJECT
32,2535,r00032,Tech Media & Telecom Roundup: Market Talk,r02535,Tech Media & Telecom Roundup: Market Talk,0.4688,NEAR_DUP_REJECT
32,2585,r00032,Tech Media & Telecom Roundup: Market Talk,r02585,Tech Media & Telecom Roundup: Market Talk,0.4688,NEAR_DUP_REJECT
32,2624,r00032,Tech Media & Telecom Roundup: Market Talk,r02624,Tech Media & Telecom Roundup: Market Talk,0.7031,NEAR_DUP_REJECT
